CONCAT,TIPO,ACOMODAÇÃO,CATEGORIA,CÓDIGO,PLANO, PL C/ DESC, VR. CORRIG,TIT/DEP, CORRIGIDO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CAROL 2026,,,,,,,,,,
,,,,,,,,,,,,,,TIPO DE PLANO,NOSSO PLANO,,MIX,,,,,,,
,,,,,," Dependente: R$ 260,00",,,,,,,,,(REDE PRÓPRIA),,(REDE PRÓPRIA + CREDENCIADA),,,59,500,"368,28",,
,,,,,," Titular até 29 anos: R$ 302,40",,,,,,,,ACOMODAÇÃO,ENFERMARIA,APARTAMENTO,ENFERMARIA,APARTAMENTO,,60,"494,81",385,,
,,,,,," Titular 30 a 39 anos: R$ 341,28",,,,,,,,Dependente,"260,00","364,00","358,80","468,00",,,,,,
,,,,,," Titular 40 a 49 anos: R$ 385,28",,,,,,,,ATÉ 29 ANOS,"302,40","423,36","417,31","544,32",,,,,,
,,,,,,,,,,,,,,30 A 39 ANOS,"341,29","477,81","470,98","614,32",,,,,,
,,,,,,,,,,,,,,40 A 49 ANOS,"385,28","539,39","531,69","693,50",,,,,,
,,,,,,,,,,,,,,50 A MAIS,"600,00","780,00","840,00","960,00",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,LIS 2025,,,,,,,,,,
,,,,,,,,,,,,,,TIPO DE PLANO,NOSSO PLANO,,NOSSO PLANO,,,,,,,
,,,,,,,,,,,,,,,(SEM OBSTETRICIA),,(COM OBSTETRICIA),,,,,,,
,,,,,,,,,,,,,,ACOMODAÇÃO,ENFERMARIA,APARTAMENTO,ENFERMARIA,APARTAMENTO,,,,,,
,,,,,,,,,,,,,,DEPENDENTE,"282,31","395,23","295,36","413,20",,,,,,
,,,,,,,,,,,,,,14 A 29 ANOS,"316,36","442,92","340,23","493,37",,,,,,
,,,,,,,,,,,,,,30 A 49 ANOS,"376,41","526,97","393,81","551,33",,,,,,
,,,,,,,,,,,,,,50 A 59 ANOS,"580,25","753,78","629,40","817,62",,,,,,
,,,,,,,,,,,,,,60 A MAIS,"695,28","849,91","754,32","925,91",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,LIS 2026,,,,,,,,,,
,,,,,,,,,,,,,,TIPO DE PLANO,NOSSO PLANO,,NOSSO PLANO,,,,,,,
,,,,,,,,,,,,,,,(SEM OBSTETRICIA),,(COM OBSTETRICIA),,,,,,,
,,,,,,,,,,,,,,ACOMODAÇÃO,ENFERMARIA,APARTAMENTO,ENFERMARIA,APARTAMENTO,,,,,,
,,,,,,,,,,,,,,DEPENDENTE,"304,89","426,85","318,99","446,26",,,,,,
,,,,,,,,,,,,,,14 A 29 ANOS,"341,67","478,35","367,45","532,84",,,,,,
,,,,,,,,,,,,,,30 A 49 ANOS,"406,52","569,13","425,31","595,44",,,,,,
